reference \ response,Unhelpful-Three,Unhelpful-Two,Unhelpful-One,Unhelpful-Five,Helpful-Five,Helpful-Four,Helpful-Three,Helpful-One,Unhelpful-Four,Helpful-Two
Unhelpful-Three,132,8,60,15,176,55,8,1,3,1
Unhelpful-Two,7,148,153,7,211,61,12,1,1,0
Unhelpful-One,5,26,1169,27,410,82,7,8,4,1
Unhelpful-Five,4,6,56,248,197,33,0,0,0,0
Helpful-Five,1,4,27,22,5667,384,8,3,0,2
Helpful-Four,2,1,17,4,1344,1255,14,2,0,1
Helpful-Three,0,0,11,1,321,201,302,2,0,1
Helpful-One,0,1,53,1,140,35,6,176,0,4
Unhelpful-Four,7,1,26,11,77,12,5,1,70,0
Helpful-Two,0,1,11,0,107,42,6,4,0,124

